metric,run,depth,seed,run_median_abs_relative
curvature/gg,d12-s7,12,7,0.0014660288179772643
curvature/gg,d12-s8,12,8,0.0016743589631260472
curvature/gg,d12-s9,12,9,0.0022668153261682649
curvature/gg,d14-s7,14,7,0.0020734752336945342
curvature/gg,d16-s7,16,7,0.0030302984842019705
curvature/verdict_code_gradient,d12-s10,12,10,1
curvature/verdict_code_gradient,d12-s11,12,11,1
curvature/verdict_code_gradient,d12-s7,12,7,1
curvature/verdict_code_gradient,d12-s8,12,8,1
curvature/verdict_code_gradient,d12-s9,12,9,1
curvature/verdict_code_gradient,d14-s7,14,7,1
curvature/verdict_code_gradient,d16-s7,16,7,0.5
curvature/verdict_code_random,d12-s10,12,10,1
curvature/verdict_code_random,d12-s11,12,11,1
curvature/verdict_code_random,d12-s7,12,7,1
curvature/verdict_code_random,d12-s8,12,8,1
curvature/verdict_code_random,d12-s9,12,9,1
curvature/verdict_code_random,d14-s7,14,7,1
curvature/verdict_code_random,d16-s7,16,7,1
curvature/verdict_code_update,d12-s10,12,10,1
curvature/verdict_code_update,d12-s11,12,11,1
curvature/verdict_code_update,d12-s7,12,7,1
curvature/verdict_code_update,d12-s8,12,8,1
curvature/verdict_code_update,d12-s9,12,9,1
curvature/verdict_code_update,d14-s7,14,7,1
curvature/verdict_code_update,d16-s7,16,7,1
curvature/vhv_gradient,d12-s10,12,10,0.0084137051043046817
curvature/vhv_gradient,d12-s11,12,11,0.0067196924038949672
curvature/vhv_gradient,d12-s7,12,7,0.0061359279031733237
curvature/vhv_gradient,d12-s8,12,8,0.0059602576403159913
curvature/vhv_gradient,d12-s9,12,9,0.008938704286526173
curvature/vhv_gradient,d14-s7,14,7,0.0067636218265817328
curvature/vhv_gradient,d16-s7,16,7,0.0075274106320941158
curvature/vhv_random,d12-s10,12,10,0.0040939031559721218
curvature/vhv_random,d12-s11,12,11,0.0027496618795028339
curvature/vhv_random,d12-s7,12,7,0.0041654830128018561
curvature/vhv_random,d12-s8,12,8,0.0050740555374181578
curvature/vhv_random,d12-s9,12,9,0.0034607864665434362
curvature/vhv_random,d14-s7,14,7,0.006466532129512809
curvature/vhv_random,d16-s7,16,7,0.0048419340628394376
curvature/vhv_update,d12-s10,12,10,0.0021455084181724966
curvature/vhv_update,d12-s11,12,11,0.0020694504117783367
curvature/vhv_update,d12-s7,12,7,0.0021075703859722368
curvature/vhv_update,d12-s8,12,8,0.0013052993685303874
curvature/vhv_update,d12-s9,12,9,0.0024755256942851451
curvature/vhv_update,d14-s7,14,7,0.0022130991095741094
curvature/vhv_update,d16-s7,16,7,0.0022894328416980816
update/actual,d12-s10,12,10,0.03227664871267414
update/actual,d12-s11,12,11,0.023485569009752495
update/actual,d12-s7,12,7,0.027156421569330173
update/actual,d12-s8,12,8,0.02337216612905945
update/actual,d12-s9,12,9,0.043814159831873173
update/actual,d14-s7,14,7,0.032789647734644142
