metric,run,depth,seed,n,spearman_abs_relative_vs_progress,early_median_abs_relative,late_median_abs_relative
curvature/e_lin_random,d12-s7,12,7,30,-0.80823136818687424,16101.238947655387,13259.743500722212
curvature/e_lin_random,d12-s8,12,8,30,-0.75350389321468292,15976.211853547495,13853.603203632974
curvature/e_lin_random,d12-s9,12,9,30,-0.76151279199110111,16008.362423170491,14249.497163315569
curvature/e_lin_random,d14-s7,14,7,32,-0.84677419354838701,14957.476665378197,10357.05584796543
curvature/e_lin_random,d16-s7,16,7,33,-0.88335561497326198,14872.789471911507,9433.1263996153903
curvature/e_lin_update,d12-s10,12,10,30,-0.89677419354838706,17994.1871295116,13593.410208950989
curvature/e_lin_update,d12-s11,12,11,30,-0.89098998887652936,18109.163758752191,13088.340353915008
curvature/e_lin_update,d12-s7,12,7,30,-0.88520578420467178,17523.383425235726,12993.117945105314
curvature/e_lin_update,d12-s8,12,8,30,-0.8353726362625139,17443.779493254751,14757.217761465125
curvature/e_lin_update,d12-s9,12,9,30,-0.85494994438264749,18630.852182323033,14255.477682690231
curvature/e_lin_update,d14-s7,14,7,32,-0.83247800586510257,17268.723517952287,10156.916958057911
curvature/e_lin_update,d16-s7,16,7,33,-0.90474598930481287,17743.192868047408,10027.33978862677
curvature/e_sym_gradient,d12-s10,12,10,30,-0.067853170189098991,7001.0151039362918,2623.8743548858056
curvature/e_sym_gradient,d12-s11,12,11,30,0.21423804226918797,6682.092700812751,6844.0277758611228
curvature/e_sym_gradient,d12-s7,12,7,30,0.14660734149054505,10939.96722776738,6517.3328531557072
curvature/e_sym_gradient,d12-s8,12,8,30,-0.058954393770856504,13757.521976886794,9804.261911169071
curvature/e_sym_gradient,d12-s9,12,9,30,0.028253615127919914,3268.3530055698002,3693.9366884041538
curvature/e_sym_gradient,d14-s7,14,7,32,-0.26979472140762462,7514.2428746690557,1564.8301765042734
curvature/e_sym_gradient,d16-s7,16,7,33,0.2075534759358289,22195.202915834347,93697.673974913137
curvature/e_sym_random,d12-s10,12,10,30,0.097664071190211338,11211.348510762029,13815.68997408498
curvature/e_sym_random,d12-s11,12,11,30,-0.21201334816462733,18163.300443212676,5049.710204151691
curvature/e_sym_random,d12-s7,12,7,30,0.022024471635150169,19402.476505631603,9838.5925172404732
curvature/e_sym_random,d12-s8,12,8,30,-0.22313681868743046,17733.57395343779,10504.734319715597
curvature/e_sym_random,d12-s9,12,9,30,0.21690767519466073,11608.570570325159,17525.44491253687
curvature/e_sym_random,d14-s7,14,7,32,-0.68658357771260992,8390.9493910286164,1751.6790070544159
curvature/e_sym_random,d16-s7,16,7,33,-0.18783422459893048,14335.685309138171,6477.9379235918459
curvature/e_sym_update,d12-s10,12,10,30,-0.6204671857619577,50761.232197882811,4341.2156502102298
curvature/e_sym_update,d12-s11,12,11,30,-0.72814238042269186,48165.141427279086,7297.02171195749
curvature/e_sym_update,d12-s7,12,7,30,-0.48565072302558404,21720.950583765771,11164.848348606085
curvature/e_sym_update,d12-s8,12,8,30,-0.54927697441601786,67306.193707563099,5191.9973999308868
curvature/e_sym_update,d12-s9,12,9,30,-0.42513904338153508,79301.168159502035,9808.7756837618399
curvature/e_sym_update,d14-s7,14,7,32,-0.64626099706744855,79369.788891700737,4626.1648938017279
curvature/e_sym_update,d16-s7,16,7,33,-0.34959893048128343,21466.673668737702,7222.2737035102291
curvature/eta_star,d12-s10,12,10,26,0.029059829059829054,0.0075989815953744523,0.0069840631718602313
curvature/eta_star,d12-s11,12,11,26,0.072820512820512814,0.0029229272474559963,0.0070933531048942532
curvature/eta_star,d12-s7,12,7,26,0.0071794871794871786,0.0077179886801458748,0.0029211700621137125
curvature/eta_star,d12-s8,12,8,26,-0.20752136752136749,0.012802697167522794,0.0020415172606466359
curvature/eta_star,d12-s9,12,9,25,-0.14692307692307693,0.0047980001663974507,0.0024170794316519489
curvature/eta_star,d14-s7,14,7,28,0.037219485495347558,0.0031732995245992942,0.0058387000821725644
curvature/eta_star,d16-s7,16,7,29,-0.019704433497536939,0.0055480022502063017,0.0072085395946507556
curvature/eta_star_rho,d12-s10,12,10,30,-0.25739710789766407,0.0043985749908361203,0.0019192121072746763
curvature/eta_star_rho,d12-s11,12,11,30,-0.23337041156840932,0.0028176408927926763,0.0018713090709018916
curvature/eta_star_rho,d12-s7,12,7,30,-0.1982202447163515,0.0037745498568564229,0.001307510876095251
curvature/eta_star_rho,d12-s8,12,8,30,-0.39399332591768632,0.0044826556295462323,0.00085538335552514115
curvature/eta_star_rho,d12-s9,12,9,30,-0.48965517241379319,0.0081817803007129836,0.0010769559307363661
curvature/eta_star_rho,d14-s7,14,7,32,-0.020161290322580645,0.001004856173313516,0.0017117033602036603
curvature/eta_star_rho,d16-s7,16,7,33,-0.28977272727272729,0.0029440107936087407,0.0018615030667532605
curvature/eta_star_rho_threshold,d12-s10,12,10,30,,65535,65535
curvature/eta_star_rho_threshold,d12-s11,12,11,30,,65535,65535
curvature/eta_star_rho_threshold,d12-s7,12,7,30,,65535,65535
curvature/eta_star_rho_threshold,d12-s8,12,8,30,,65535,65535
curvature/eta_star_rho_threshold,d12-s9,12,9,30,,65535,65535
curvature/eta_star_rho_threshold,d14-s7,14,7,32,,65535,65535
curvature/eta_star_rho_threshold,d16-s7,16,7,33,,65535,65535
curvature/fd_conclusive_gradient,d12-s10,12,10,30,,1,1
curvature/fd_conclusive_gradient,d12-s11,12,11,30,,1,1
curvature/fd_conclusive_gradient,d12-s7,12,7,30,,1,1
curvature/fd_conclusive_gradient,d12-s8,12,8,30,,1,1
curvature/fd_conclusive_gradient,d12-s9,12,9,30,,1,1
curvature/fd_conclusive_gradient,d14-s7,14,7,32,,1,1
