segment,step,metric,run,run_id,depth,seed,normalized_progress,native,shadow,absolute_difference,shadow_is_zero,signed_relative_difference,absolute_relative_difference,sign_disagreement
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_snr_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.00010600367258557311,0,0.00010600367258557311,True,,,True
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/dhd,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,-0.0018233366803898064,-0.001861684334690872,3.8347654301065575e-05,False,0.020598365462119607,0.020598365462119607,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_lin_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.016822095100709731,1.932224995517916e-05,0.016802772850754551,False,869.60746754291495,869.60746754291495,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_lin_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.011936707130678703,7.9059638579470792e-07,0.011935916534292908,False,15097.357828539676,15097.357828539676,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_lin_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.022021621866264201,6.9231346556665949e-07,0.022020929552798635,False,31807.744104434652,31807.744104434652,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_sym_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0065516426207116191,4.3413551598115932e-06,0.0065473012655518073,False,1508.1238517781042,1508.1238517781042,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_sym_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0084524530059357627,2.6106245083482591e-07,0.0084521919434849286,False,32376.130372087202,32376.130372087202,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/e_sym_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0056983884539941474,9.3294668379269235e-08,0.0056982951593257678,False,61078.465236197473,61078.465236197473,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/eta_star_rho,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,-0.00095692701355266918,-0.0010085922717832923,5.1665258230623083e-05,False,0.051225118093829659,0.051225118093829659,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/eta_star_rho_threshold,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0625,9.5367431640625e-07,0.062499046325683594,False,65535,65535,False
