rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
175,sparse,curvature/fd_sweep_e_fd_gradient,native,sparse:curvature/fd_sweep_e_fd_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,180,72,108,0,0.06544356048107147,0.4979429394006729,0.19891388248838943,3.5029904343170344,0.195885255536078,0.21567923164385058,0.0,0.0,intermediate,"probe,uncertified"
176,sparse,curvature/fd_sweep_snr_gradient,native,sparse:curvature/fd_sweep_snr_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,180,72,108,0,0.1837768852710724,21.21380615234375,0.20148448307569009,2.67057425747958,0.18464370119406584,0.20978302466439436,0.0,0.0,intermediate,"probe,uncertified"
177,sparse,curvature/gg,shadow_fp32,sparse:curvature/gg [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,1.8458139213499969,4.837364519236949,0.20577986051513367,0.5700472924748057,0.16014967826285278,0.24357541949725905,0.0,0.0,intermediate,"probe,pass-only"
178,periodic,probe/ve_gate_quantiles,none,periodic:probe/ve_gate_quantiles,none,True,not_applicable,1500,1500,300,300,1.0,2100,336,1764,0,0.1552734375,1.03125,0.2122552963260928,3.53781512605042,0.0743212149102623,0.2296609306587924,0.0,0.0,intermediate,probe
179,periodic,muon/cos_raw_momentum,none,periodic:muon/cos_raw_momentum,none,False,not_applicable,9750,9480,1896,1896,1.0,1896,258,1638,0,0.11080413438677464,1.3818985401551331,0.22615550781003907,15.287791565759557,0.2878666642436235,0.21808979279402413,0.0,0.0,intermediate,-
180,sparse,overhead/shadow_acceptance,none,sparse:overhead/shadow_acceptance,none,False,not_applicable,150,150,30,30,1.0,30,12,18,0,1.2855806672014296,2.7238319758325815,0.25168912255618203,0.5407216286043577,0.22970993441394139,0.255309870556095,0.0,0.0,intermediate,-
181,periodic,overhead/grads_ready/periodic_scan,none,periodic:overhead/grads_ready/periodic_scan,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.12228011898696423,0.24004125967621803,0.28029868351158355,0.5924501687499579,0.4549880449333672,0.26741774866814144,0.0,0.0,intermediate,-
182,sparse,update/residual_p1,shadow_fp32,sparse:update/residual_p1 [shadow_fp32],none,True,not_applicable,150,150,30,30,1.0,30,12,18,0,0.00850328008484355,0.5209060539549007,0.2830839394240309,1.197794225957842,0.3305380692978946,0.28209670582614466,0.0,0.0,intermediate,probe
183,sparse,curvature/vhv_update,native,sparse:curvature/vhv_update [native],update,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,6.833149965156134e-08,7.600088430763353e-06,0.2875592755719258,0.9152713912224799,0.34480349335047955,0.2753994265750742,0.0,0.0,intermediate,"probe,uncertified"
184,periodic,noise/mean_grad_norm,none,periodic:noise/mean_grad_norm,none,False,not_applicable,14125,14125,2825,2825,1.0,2825,452,2373,0,0.003503119738154231,0.1744686324149737,0.2966096163927863,13.557692175558397,0.4261205348322447,0.2758617868053969,0.0215929203539823,0.0,intermediate,-
