run,metric,n,n_ramp,n_body,n_wd,med_ramp,med_body,med_wd,med_pre,ratio_wd_over_pre,ratio_wd_over_body,sp_pre,sp_wd,sp_all,med_tail,sp_tail
d14-s7,curvature/eta_star,28,10,3,15,0.5283845700082891,0.3083709608212628,0.0456791336193999,0.4850686202290434,0.09417045695066975,0.14813046435288804,-0.11538461538461539,-0.6785714285714286,-0.8549534756431308,0.041456527777937,0.11904761904761904
d14-s7,curvature/dhd,28,10,3,15,0.17351438795765445,0.0989771981220435,0.0253201138514921,0.1459526395654319,0.1734817124711257,0.2558176462044442,-0.5,-0.9857142857142858,-0.9480021893814997,0.006155873834497149,-1.0
d14-s7,curvature/vhv_gradient,28,10,3,15,1.903054442271239,3.2428476436258835,21.89183512700265,2.0615639049015155,10.619042696155693,6.750805937501589,0.11538461538461539,0.6785714285714286,0.8549534756431308,24.127567182953356,-0.11904761904761904
d14-s7,curvature/e_curv_gradient,28,10,3,15,0.0007975392530237999,0.0018613774679791,0.0009318682315081,0.000853837774296,1.0913879188308775,0.5006336691718046,0.15384615384615385,-0.19642857142857142,-0.038314176245210725,0.00076565361258115,-0.5952380952380952
d14-s7,curvature/gg,28,10,3,15,3.749416461871963,4.321220407482183,18.182638516894457,3.851335163898012,4.721125984395358,4.207755402943867,0.13186813186813187,0.6428571428571429,0.7668308702791461,19.395164582696218,-0.5952380952380952
d14-s7,curvature/Hg_norm,28,10,3,15,7.664374551200288,14.112105517122297,171.05693956630128,8.600160439494152,19.889970747611144,12.121291139635892,0.21428571428571427,0.7535714285714286,0.8609742747673782,190.1237501609009,-0.11904761904761904
d14-s7,update/direction_norm,28,10,3,15,773.0151271789167,782.9848108219057,468.3132030210593,782.1135243787755,0.5987790626597788,0.5981127558904584,0.47802197802197804,-1.0,-0.5867542419266557,262.9901343939998,-1.0
d16-s7,curvature/gHg,29,11,3,15,6.265899545576264,16.34698707984493,304.305826517916,8.869599642459882,34.30885708315018,18.615407538500527,0.03296703296703297,0.7428571428571429,0.7,320.1560408619776,-0.23809523809523808
d16-s7,curvature/eta_star,29,11,3,15,0.5844486721386414,0.2848846105315661,0.0546799653642655,0.4338619217604773,0.12603080063443028,0.19193723824617331,-0.09010989010989011,-0.7285714285714285,-0.774384236453202,0.053424217622696696,0.21428571428571427
d16-s7,curvature/dhd,29,11,3,15,0.237951298080523,0.0621227583357276,0.0165546001714731,0.1732070404736964,0.09557694725456103,0.2664820528735656,-0.6967032967032967,-1.0,-0.952216748768473,0.0036145778719739,-1.0
d16-s7,curvature/vhv_gradient,29,11,3,15,1.7110140505690687,3.5101932897664194,18.288235598393893,2.362010528449672,7.742656257505147,5.210036624396503,0.09010989010989011,0.7285714285714285,0.774384236453202,18.718896242052153,-0.21428571428571427
d16-s7,curvature/e_curv_gradient,29,11,3,15,0.0003682060336002,0.000815749205022,0.0020048576073654,0.00079299436413475,2.5282116721635655,2.4576887050859346,0.38461538461538464,0.31785714285714284,0.5305418719211823,0.0024544136238258,-0.11904761904761904
d16-s7,curvature/gg,29,11,3,15,3.792791101794215,4.813898867704234,16.501349082110863,4.065229972144295,4.059142827141674,3.4278553695458953,-0.10329670329670329,0.7214285714285714,0.6827586206896552,17.041104917892156,-0.42857142857142855
d16-s7,curvature/Hg_norm,29,11,3,15,7.612923697422362,15.774063628588491,130.49172929071787,8.763048269604006,14.891134371968336,8.272549950554158,0.18681318681318682,0.7428571428571429,0.7300492610837438,142.77731376097967,-0.23809523809523808
d16-s7,update/direction_norm,29,11,3,15,803.7676689991141,828.5463387493577,492.1346380621098,808.96134977581,0.6083537096036746,0.5939735836681848,0.42417582417582417,-0.9964285714285714,-0.587192118226601,271.95731375719356,-1.0
