metric,p,n,median,lo,hi,sd,sd_rel,range_rel
curvature/eta_star_rho,0.500397,5,0.5931461330801987,0.4811836193682595,0.6170058219889594,0.0608419482430369,0.10257497242220161,0.22898607113120217
curvature/eta_star_rho,0.55,5,0.5701207931160742,0.4844240404195243,0.6434282361870882,0.05801030962472675,0.10175091020214043,0.27889562648382715
curvature/eta_star_rho,0.6,5,0.57811915379359,0.5073524174746181,0.6014588703881321,0.040261758063003,0.06964266414424654,0.16278037545719068
curvature/eta_star_rho,0.65,5,0.5609226595518585,0.5451183790883966,0.588910187232443,0.016088689026866776,0.02868254429179348,0.07807102708069122
curvature/eta_star_rho,0.7,5,0.5662610924405455,0.5105548558897803,0.5867818218117146,0.0341212979444407,0.060257182419827415,0.1346145213569263
curvature/eta_star_rho,0.75,5,0.5519132038681533,0.5362184828949383,0.5829513847433219,0.018015864399802985,0.03264256820372574,0.08467436821741188
curvature/eta_star_rho,0.8,5,0.5400816459849157,0.5147303039668621,0.5681416272106969,0.02190403793169629,0.040556901154734044,0.09889490531830915
curvature/eta_star_rho,0.85,5,0.5451252703081172,0.5210562271557676,0.5621415821029194,0.01810108323619349,0.033205364385258354,0.07536864861159243
curvature/eta_star_rho,0.9,5,0.5319839978443985,0.5109930287544194,0.5445961350308337,0.013828701591023784,0.025994581880390655,0.06316563357652524
curvature/eta_star_rho,0.95,5,0.5329882509669045,0.5229132580191098,0.5393665463253297,0.006030316102378111,0.01131416328866236,0.03086988930125871
curvature/eta_star_rho,1.0,5,0.5114550000195646,0.5091055425321235,0.5184753828627776,0.0035396251852760153,0.006920697197486807,0.018319970144579114
