run,step,p,curvature/arith_eps,curvature/eta_star,curvature/eta_star_rho,curvature/eta_star_rho_threshold,curvature/gHg,curvature/gg,curvature/verdict_code_gradient,eta_reason,certified,eta_defined,rho_over_tau
d12-s10,2,0.450397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.500133,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.500186,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.500397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.55,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.550037,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.550146,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.6,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.600074,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.60016,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.65,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.650112,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.650173,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.7,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.700149,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.700186,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.75,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.7502,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.799947,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.8,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.800037,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.84996,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.85,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.850074,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.899973,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.9,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.900112,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.949963,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.949987,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.95,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,1.0,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000186,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000266,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000372,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000532,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000558,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000794,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.000798,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.00093,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.00119,1.1920928955078125e-07,,-0.009203876375685309,9.5367431640625e-07,-0.014771101253577557,4.4021508013406425,1.0,gHg_not_positive,False,False,-9650.963874510599
d12-s10,3,0.00133,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.001674,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.001984,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.002394,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.003162,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.003571,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.004522,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.006138,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.006746,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.007626,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.008779,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.010907,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.012091,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.013095,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.01627,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.017292,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.023996,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.025794,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.034318,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.047805,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.050223,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.050279,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.050397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.074591,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.10026,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.100293,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.100397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.106677,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.150112,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.150306,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.150397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.159127,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.200149,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.200319,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.200397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.250186,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.250333,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.250397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.30008,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.300223,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.300397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.350074,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.350093,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.35026,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.350359,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.350397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.400106,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.400112,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.400397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.45012,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.450149,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.450397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.500133,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.500186,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.500397,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.55,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.550037,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.550146,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.6,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.600074,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.60016,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.65,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.650112,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.650173,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.7,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.700149,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.700186,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.75,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.7502,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.799947,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.8,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.800037,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.84996,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.85,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.850074,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.899973,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.9,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.900112,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.949963,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.949987,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,0.95,,,,,,,,gHg_not_positive,False,False,
d12-s10,3,1.0,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000186,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000266,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000372,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000532,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000558,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000794,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.000798,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.00093,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.00119,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.00133,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.001674,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.001984,1.1920928955078125e-07,,-0.12673108753248888,9.5367431640625e-07,-0.3803510526123238,4.7130312239232905,1.0,gHg_not_positive,False,False,-132887.17684046706
d12-s10,5,0.002394,,,,,,,,gHg_not_positive,False,False,
