segment,depth,seed,acceptance_arm,metric,n_checkpoints,median,minimum,maximum,q25,q75,n_above_threshold
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_sym_update,30,0.014314596857618028,0.0011672562477284473,0.58844934334659205,0.0058290761114839105,0.040293359732293955,30
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,native,curvature/e_sym_update,30,0.0072654925701150837,1.97083242636275e-05,1.8459556763176919,0.0034306874584771937,0.019805636474935398,29
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,native,curvature/e_sym_update,30,0.013974430221982491,0.00068071478548388542,0.26640537099860218,0.0077108619437489881,0.036989774501635722,30
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,native,curvature/e_sym_update,32,0.01723052196266096,0.00010146157344568106,0.12184977451493284,0.0067002971157866928,0.031087953244896417,32
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,native,curvature/e_sym_update,33,0.0094470516018149518,7.23419717006112e-05,0.90561611191345948,0.0039563954120989822,0.021634242330315606,32
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_lin_gradient,30,4.9605753310451011e-07,3.7950209803357407e-07,1.9551527473772729e-05,4.4247183557021681e-07,5.3271025888079329e-07,0
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_lin_gradient,30,5.3154204107788685e-07,3.8694173544076242e-07,1.9386262400826931e-05,4.9137200652294846e-07,5.7754848326386811e-07,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_lin_gradient,30,5.1119355489749048e-07,2.6022570207228444e-07,1.9528831053157701e-05,4.5974999565154839e-07,5.3768732290537035e-07,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_lin_gradient,30,4.9453580762184497e-07,3.8488861186944241e-07,1.9367864176378937e-05,4.6577830497146867e-07,5.8365070781294351e-07,0
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_lin_gradient,30,4.9491916651653465e-07,3.7548911209534276e-07,1.8855018364214617e-05,4.6240189787660092e-07,5.448231598163567e-07,0
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_lin_gradient,32,4.6495658136513874e-07,4.0760674360270113e-07,3.0069910693003613e-05,4.5212318397818166e-07,5.7289498856919003e-07,0
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_lin_gradient,33,5.1151841638403784e-07,3.9742473898645563e-07,2.6468790713642862e-05,4.9463919668619747e-07,5.7778059829782518e-07,0
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_lin_random,30,7.4918707075943477e-07,5.1184893908287506e-07,8.5736484640249513e-07,6.8637691538250866e-07,7.8887021609595013e-07,0
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_lin_random,30,7.7115310313728684e-07,5.0666047540620623e-07,1.0083010175091715e-06,7.2316033266003985e-07,8.1075221961076563e-07,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_lin_random,30,7.666147168127187e-07,5.2300467742293735e-07,8.30252020839048e-07,7.2923638792671006e-07,8.06587130464619e-07,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_lin_random,30,7.7434837111488971e-07,5.1087934885568528e-07,8.8419811901179864e-07,7.461263597005989e-07,8.3004435808284116e-07,0
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_lin_random,30,7.5578233704619973e-07,5.0579580516930528e-07,9.3554184329322358e-07,7.2722476037752473e-07,8.082842771736843e-07,0
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_lin_random,32,7.7508169947045269e-07,6.2254330546768187e-07,9.501635546209596e-07,7.3952784671538759e-07,8.907071549860839e-07,0
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_lin_random,33,8.717234600320237e-07,6.0325774147398654e-07,9.9743581261351006e-07,7.7946270580364023e-07,9.146019581306145e-07,0
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_lin_update,30,7.2134297161066036e-07,5.0819038928201489e-07,8.409237489148044e-07,6.7766128353659044e-07,7.5931277148658118e-07,0
