run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,1111,1919,808,0.44087301587301586,0.37598463191715364
d12-s10,batch_grad,1111,2020,909,0.44087301587301586,-0.055067229221471524
d12-s10,batch_grad,1111,2121,1010,0.44087301587301586,0.10082836732976483
d12-s10,batch_grad,1111,2222,1111,0.44087301587301586,0.028032766883878808
d12-s10,batch_grad,1111,2323,1212,0.44087301587301586,-0.04745417772371164
d12-s10,batch_grad,1111,2424,1313,0.44087301587301586,-0.08678244158963912
d12-s10,batch_grad,1212,1313,101,0.48095238095238096,0.2957122811172538
d12-s10,batch_grad,1212,1414,202,0.48095238095238096,-0.498735684724053
d12-s10,batch_grad,1212,1515,303,0.48095238095238096,0.39053770179471087
d12-s10,batch_grad,1212,1616,404,0.48095238095238096,-0.4645741952108604
d12-s10,batch_grad,1212,1717,505,0.48095238095238096,-0.4483735055474126
