seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/block_in_stats_quantiles,600,600,25,7
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/block_in_stats_rms,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/block_in_stats_std,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/c_proj_in_norm,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/c_proj_in_stats_mean,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/c_proj_in_stats_quantiles,600,600,25,7
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/c_proj_in_stats_rms,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/c_proj_in_stats_std,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/content_loss_sums,50,50,25,40
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_entropy_mean,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_lse_mean,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_margin_mean,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_max_postcap,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_max_precap,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_saturation_fraction,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_softcap_equiv_err,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/logit_z_loss,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/loss,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_out_norm,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_out_stats_mean,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_out_stats_quantiles,600,600,25,7
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_out_stats_rms,600,600,25,0
