region,n_pts,n_pts_both,step_lo,step_hi,n_abs,medabsz_abs,n_inf_abs,medrel_abs,medabsrel_abs,seedsdrel_abs,medgap_abs,n_prog,medabsz_prog,n_inf_prog,medrel_prog,medabsrel_prog,seedsdrel_prog,medgap_prog,align_dz,align_dz_max,align_drel,sign_flip_frac,metric,arm,tier
post,21,10,401,5376,10,0.20082076130900198,0,-0.2578964064778957,4.625,19.451030409549524,126.0,21,0.1957295265041745,0,0.9927839071464957,3.0788863109046516,26.52158039604041,0.04999999999999999,1.1963194552766239,21.42918793177524,7.040346171553251,0.4,curvature/c_fd_update,shadow_fp32,sparse
warmup,12,10,1,270,12,0.0,0,0.0,0.0,0.0,8.0,10,0.0,0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,curvature/curv_eps_gradient,native,sparse
post,21,10,401,5376,10,0.0,0,0.0,0.0,0.0,126.0,21,0.0,0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,curvature/curv_eps_gradient,native,sparse
warmup,12,10,1,270,12,0.083489495416371,2,-0.06415722856413211,0.12831445712826428,0.10403008905272088,8.0,10,0.5566551902713159,2,-0.07918028194826818,0.1594249231845128,0.17766258852478803,0.004761904761904762,0.7629654248871631,5.316025532640993,0.2318068767320694,0.2,curvature/curv_eps_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,2.8117450620595754,0,0.25680575416670803,0.25680575416670803,0.1054235367827662,126.0,21,2.2839586816706086,0,-0.25991719550771475,0.25991719550771475,0.12509817020113378,0.04999999999999999,4.210839559495573,8.505623254863838,0.564866215865349,0.9,curvature/curv_eps_gradient,shadow_fp32,sparse
warmup,12,10,1,270,12,1.4596643634472044,0,2.3333333333333335,2.3333333333333335,1.5434702946897587,8.0,10,1.6508079009034673,0,1.1144759098597699,1.1144759098597699,1.3583121392601263,0.004761904761904762,0.5839340644905064,5.158599401669958,1.2128707202564986,0.0,curvature/curv_eps_random,native,sparse
post,21,10,401,5376,10,0.6106035991086691,0,-0.24074074074074078,0.5907407407407408,0.5913043705598089,126.0,21,1.2866647057736578,0,-0.6982409478329203,0.8997039874629984,1.2831416910259565,0.04999999999999999,0.5937991196345803,1.9803590315748643,0.28432676225249875,0.2,curvature/curv_eps_random,native,sparse
warmup,12,10,1,270,12,0.3291698266611175,0,0.0,0.7,1.5306824572885476,8.0,10,0.9433718271507203,0,-0.09500222670262394,0.7973594507657591,1.7526316238626167,0.004761904761904762,0.9766927979703599,10.899171369633196,0.8041296328245069,0.3,curvature/curv_eps_random,shadow_fp32,sparse
post,21,10,401,5376,10,1.6559983828356244,0,2.2464128035320083,2.2464128035320083,1.4990843269260037,126.0,21,0.5197809674907395,0,0.0018220970680795623,0.6666666666666666,1.4194178161573487,0.04999999999999999,0.4669957686393613,5.925601786516221,2.2445907064639283,0.1,curvature/curv_eps_random,shadow_fp32,sparse
warmup,12,10,1,270,12,0.631158185986449,1,0.0,0.7000000000000001,1.2847908467119962,8.0,10,1.082200954168487,0,0.00319569848838394,0.6049584450716559,0.7387032281088965,0.004761904761904762,1.4560269124058416,22.05367280636468,0.7630908413996365,0.3,curvature/curv_eps_update,native,sparse
post,21,10,401,5376,10,0.42193148027287464,0,-0.5968596292092319,0.6763565891472868,1.2514700570988833,126.0,21,0.49422988423216985,0,-0.5079326336343667,0.8995682497509134,1.2840974726443628,0.04999999999999999,0.530972021963243,2.787535120035008,0.2930865669171039,0.3,curvature/curv_eps_update,native,sparse
warmup,12,10,1,270,12,1.0822206735673214,0,0.0,0.8,2.1459910580786037,8.0,10,0.7610771190873422,0,0.18599324563046932,0.7937293971137647,0.8633093299455585,0.004761904761904762,0.8329702796224675,7.3563433506651075,0.9497524506506195,0.2,curvature/curv_eps_update,shadow_fp32,sparse
post,21,10,401,5376,10,1.4135830446806787,0,0.2920454545454549,0.9385149201943098,0.9562881335500859,126.0,21,0.73482386017331,0,0.0006700915791807766,0.9008036739380022,1.2732073354034754,0.04999999999999999,0.5280878600295127,2.818716483003865,0.6212121212121215,0.3,curvature/curv_eps_update,shadow_fp32,sparse
warmup,12,10,1,270,12,2.8532767824783454,0,-0.013211017649420056,0.013211017649420056,0.004971971460754103,8.0,10,41.828681435805194,0,-0.20677156893009468,0.20677156893009468,0.005811507891084661,0.004761904761904762,37.988200442383516,474.6862763638544,0.16783232561890735,0.0,curvature/curv_floor_gradient,native,sparse
post,21,10,401,5376,10,2.6874831535207386,0,-0.030621756088267706,0.033832925862913026,0.012109295168409844,126.0,21,12.3436910319868,0,-0.1646643174887739,0.1646643174887739,0.014651881476372522,0.04999999999999999,11.066538933313302,25.741238031024345,0.18209613332733646,0.4,curvature/curv_floor_gradient,native,sparse
warmup,12,10,1,270,12,2.185368593741984,0,0.14168437242248558,0.2874492131803783,0.20201625467126066,8.0,10,0.8129769725546838,0,-0.034757609269729345,0.36328015723570983,1.0899398056612262,0.004761904761904762,5.0081304609737165,320.71552263144025,0.4866753383811777,0.3,curvature/curv_floor_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,2.04638853350607,0,-0.3795343564953433,0.3795343564953433,0.2124160616529852,126.0,21,2.4670296463105275,0,0.5158837292502205,0.5158837292502205,0.25114528697646316,0.04999999999999999,3.563299655065311,8.326207815295351,0.8885584345830372,0.7,curvature/curv_floor_gradient,shadow_fp32,sparse
warmup,12,10,1,270,12,0.08778431054688599,0,-0.910921725467404,0.9508210236427825,43.64601873817578,8.0,10,0.11767334334668744,0,-0.9580189770267538,0.9580189770267538,5.972916861217687,0.004761904761904762,0.1574710776936027,2.273437598730498,0.08825681296417676,0.2,curvature/curv_floor_random,native,sparse
post,21,10,401,5376,10,0.2508792030108479,0,0.006410459764872752,0.9929659735896468,5.580087643820894,126.0,21,1.695424512290936,0,6.422472674662086,6.422472674662086,5.64647956626377,0.04999999999999999,0.47837022687064107,24.793397643833472,2.2752041012763073,0.1,curvature/curv_floor_random,native,sparse
warmup,12,10,1,270,12,0.18157709234858693,0,-0.0031791705135690183,0.9916189507692845,5.858865913960487,8.0,10,0.5762809625955119,0,-0.7227106067575753,0.7995194649512544,1.2660926294354247,0.004761904761904762,0.7889019446748896,2.7520115378653265,0.4780538184749622,0.1,curvature/curv_floor_random,shadow_fp32,sparse
post,21,10,401,5376,10,1.2862540780693084,0,-0.9780327396239178,0.9889976592558646,1.64863539709087,126.0,21,0.18094837609554756,0,-0.18632158467682863,0.986694603160796,4.72415053814017,0.04999999999999999,1.4985609107698425,3.3747849214472216,0.6926118654891766,0.1,curvature/curv_floor_random,shadow_fp32,sparse
warmup,12,10,1,270,12,0.2886077251993082,0,-0.012899507482108913,0.9901206112588514,3.8087737866564413,8.0,10,0.2722861610694272,0,-0.6921683248092421,0.9063717396104873,2.0252860897041125,0.004761904761904762,0.21645898083338064,8.112147152873376,0.8390305304333143,0.2,curvature/curv_floor_update,native,sparse
post,21,10,401,5376,10,1.2850441803952666,0,0.14688108413149975,1.0024270107066715,3.23683896730034,126.0,21,0.18687733749441235,0,0.4798992714813948,0.9510081296630717,4.762258382127811,0.04999999999999999,0.48360847183106137,20.16439319262745,8.900463963939004,0.3,curvature/curv_floor_update,native,sparse
warmup,12,10,1,270,12,1.0311171600234648,0,-0.3122578831292883,0.99461906770354,5.140045145667452,8.0,10,1.323159792734975,0,-0.8808684321118256,0.9976923052499418,2.6177283347426172,0.004761904761904762,1.0908878232545578,3.164277749424806,3.6816852882425923,0.3,curvature/curv_floor_update,shadow_fp32,sparse
post,21,10,401,5376,10,0.17589331495667174,0,-0.39171184730349834,0.9358962968501794,5.918662799970462,126.0,21,0.2858612720523509,0,-0.23074359925285126,0.9916925023096781,5.818732636674194,0.04999999999999999,0.9604997672066925,18.081114220462513,1.1375472140261267,0.2,curvature/curv_floor_update,shadow_fp32,sparse
warmup,12,10,1,270,12,1.599205092107581,0,0.2908790920627575,0.40347989059743283,0.2667908968717419,8.0,10,1.1624228907150145,0,0.5006787091942799,0.5240106243342074,0.40231320142959903,0.004761904761904762,2.0957101090357013,1384.7887814964188,0.6941136763123772,0.5,curvature/curv_snr_gradient,native,sparse
post,21,10,401,5376,10,1.3645302451237984,0,-0.2733288625280805,0.2733288625280805,0.2076175900699701,126.0,21,4.3835915197607305,0,1.0410521089594624,1.0410521089594624,0.22778735289490712,0.04999999999999999,4.374207052490631,11.117657978773122,1.3846097055090643,0.8,curvature/curv_snr_gradient,native,sparse
warmup,12,10,1,270,12,0.7430982839402165,0,-0.014433929052190002,0.09575087583656422,0.09489579365062581,8.0,10,2.458867514791456,0,0.04799244305733928,0.12457131004001518,0.09758209309614649,0.004761904761904762,2.111429675655396,182.7993163909104,0.07229609106454019,0.2,curvature/curv_snr_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,1.4308031327410664,0,0.061229149066985816,0.08773736370435953,0.05933294107885033,126.0,21,0.878013712849822,0,0.01778789675417531,0.07914052336281979,0.0833820192920023,0.04999999999999999,0.7887481834777514,2.5289827881910214,0.030705621754547635,0.2,curvature/curv_snr_gradient,shadow_fp32,sparse
