metric,arm,tier,group,w_n_abs,w_n_prog,w_n_pts_both,w_medabsz_abs,w_medabsz_prog,w_n_inf_abs,w_n_inf_prog,w_medabsrel_abs,w_medabsrel_prog,w_medrel_abs,w_medrel_prog,w_seedsdrel_abs,w_align_dz,w_align_dz_max,w_align_drel,w_sign_flip_frac,w_frac_zero_sd_abs,w_frac_exact_eq_abs,w_frac_exact_eq_prog,w_medgap_abs,w_medgap_prog,p_n_abs,p_n_prog,p_n_pts_both,p_medabsz_abs,p_medabsz_prog,p_n_inf_abs,p_n_inf_prog,p_medabsrel_abs,p_medabsrel_prog,p_medrel_abs,p_medrel_prog,p_seedsdrel_abs,p_align_dz,p_align_dz_max,p_align_drel,p_sign_flip_frac,p_frac_zero_sd_abs,p_frac_exact_eq_abs,p_frac_exact_eq_prog,p_medgap_abs,p_medgap_prog,deterministic,verdict,verdict_prog,verdict_flip,align_unstable_warmup,align_unstable_post,align_unstable,untestable_warmup,why_unsafe,unsafe
update/residual_p1,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.6016305802861848,6.940262014151061,0.0,0.0,0.1046900358707271,0.9622840402612308,0.0364852125758934,-0.0647597751058981,0.1115522743639937,2.0558568233191243,47.58248675921196,0.4617623094279621,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,5.781065811120786,3.5589746525871933,0.0,0.0,0.619990764797073,0.4539717241822599,0.2986141104777984,-0.4539717241822599,0.1164473049895941,6.360384545220921,10.009413857196977,1.8560489578986723,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
attn/n_undefined_queries/b0,none,periodic,dynamics,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
attn/n_undefined_queries/b1,none,periodic,dynamics,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
attn/n_undefined_queries/b2,none,periodic,dynamics,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
attn/n_undefined_queries/b3,none,periodic,dynamics,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
attn/validation_max_abs_err,none,periodic,dynamics,2.0,1.0,1.0,0.9627864249513026,0.9295839880505288,0.0,0.0,0.0599088189544235,0.057947288037043,0.0101077713219872,-0.057947288037043,0.0658756507401391,0.1230177143111552,0.1230177143111552,0.0086473297100672,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,11.635909261658195,5.190883737255003,0.0,0.0,0.492191193057243,0.1994260056563596,0.492191193057243,0.1994260056563596,0.0297167003300312,1.9483536871813023,3.4829540705666315,0.0690055176806924,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
curvature/e_fd_random,shadow_fp32,sparse,dynamics,1.0,0.0,0.0,16.02737714668193,,0.0,0.0,0.567405655368967,,0.567405655368967,,0.0354022776263447,,,,,0.0,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
curvature/fd_cos_random,shadow_fp32,sparse,dynamics,1.0,0.0,0.0,19.5266557500705,,0.0,0.0,7.668901812189929e-07,,-7.668901812189929e-07,,3.927401553213864e-08,,,,,0.0,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
grad/max_abs,none,periodic,dynamics,2.0,2.0,2.0,0.1993505288853562,1.232569808660144,0.0,0.0,0.039606815998225,0.4762373148746578,-0.039606815998225,0.4611392718672321,0.320606222496856,1.4306260435506633,2.8612520871013265,0.2584660572922315,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,1.8057843408128271,1.268999509559506,0.0,0.0,0.4501136818461089,0.3069582978909212,-0.3311043870336408,-0.3069582978909212,0.2316981303549926,0.833078115025303,4.646153122320937,0.2625724222876948,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
grad/nonfinite,none,periodic,dynamics,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
grad/norm,none,periodic,dynamics,2.0,2.0,2.0,0.7800684683373807,0.5565247576767608,0.0,0.0,0.2327855055802392,0.3077971534859265,-0.2327855055802392,0.3077971534859265,0.1492083804363947,1.3260894640924212,2.6521789281848425,0.4133535981671511,1.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,3.713242854938209,4.81985604436364,0.0,0.0,0.2824996105264254,0.412001560784844,-0.2210630271487554,-0.412001560784844,0.07458574403228,3.635109879033013,9.167147405732608,0.4256857035698732,0.3,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
grad/rms,none,periodic,dynamics,2.0,2.0,2.0,1.799079208017205,0.3092255988688395,0.0,0.0,0.4490202245861558,0.150114376834073,-0.4490202245861558,-0.150114376834073,0.124791677482902,1.238279295927639,2.476558591855278,0.35170126379903,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,7.610328687172392,7.4477719252592705,0.0,0.0,0.4602493461939822,0.5413997834357036,-0.4602493461939822,-0.5413997834357036,0.0574308827954085,2.3166020311427524,9.653176042114003,0.2625765396967633,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
grad/zero_fraction,none,periodic,dynamics,2.0,2.0,2.0,2.6396629752158924,3.150673810600256,0.0,0.0,0.0033812517282215,0.1101971431228665,-0.0033087847387344,0.1101971431228665,0.04705714804283,0.6955000156468557,1.3910000312937114,0.0930131102062731,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,3.4903695174844,2.419409359630163,0.0,0.0,0.129299203740363,0.1622782959810704,-0.119664576242369,0.1622782959810704,0.0296529959509881,6.471199409472597,23.65920159973435,0.2669538348850184,0.6,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/cautious_mask_fraction,none,periodic,dynamics,2.0,2.0,2.0,1.8458371134962652,1.8172876944103808,0.0,0.0,0.0057488168117915,0.0524886563863269,0.0057488168117915,0.0524886563863269,0.0015572383851635,2.2470004394218543,4.494000878843709,0.0422993658188817,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,52.19284558380189,15.397418264932275,0.0,0.0,0.0468417492644347,0.0164392601798704,-0.0468417492644347,0.0138753672999292,0.0009162289509971,57.69340952208872,76.29435556686633,0.0922132401911524,0.9,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/cos_data_decay,none,periodic,dynamics,1.0,1.0,1.0,7.367723085610292,3.2497068864134957,0.0,0.0,0.0245054694760606,0.1642630982727188,0.0245054694760606,0.1642630982727188,0.003326057343811,3.806007039274117,3.806007039274117,0.1200395589313105,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,28.596497501593184,13.92743388500364,0.0,0.0,0.0698969479854401,0.0297732177923826,-0.0698969479854401,0.0268914508705274,0.0021598074004108,57.41268818913223,66.52964075771649,0.1397223674349361,0.9,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
muon/cos_nesterov_final,none,periodic,dynamics,2.0,2.0,2.0,3.151141111562488,4.158871755825691,0.0,0.0,0.0733689905568923,0.2581902779215906,-0.009579857864192,0.1752414295005062,0.0343350070226044,1.6222291415223424,3.244458283044685,0.1289362349163347,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,3.3470003222655693,0.7108935619160195,0.0,0.0,0.0579724869315767,0.0221447552539466,-0.0579724869315767,-0.0104401349661217,0.0251619976617705,3.500049926611735,10.661555622772784,0.1307901875327155,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/cos_raw_final,none,periodic,dynamics,2.0,2.0,2.0,2.5438447496265324,3.3041717108186197,0.0,0.0,0.0415850695499872,0.1253574302789006,-0.0415850695499872,0.0424085817766683,0.0370541064110408,0.9202955163629676,1.8405910327259356,0.071926781957633,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,8.001126390478753,2.66877029221556,0.0,0.0,0.2816951506791652,0.0677177040262086,-0.2816951506791652,-0.0677177040262086,0.0275276831000453,9.981436912047585,43.739531314151925,0.3943697350164015,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/cos_raw_momentum,none,periodic,dynamics,2.0,2.0,2.0,0.9790769500134824,0.9907362420779005,0.0,0.0,0.0483225564909122,0.1107271239168454,-0.0483225564909122,-0.1107271239168454,0.0246776090940792,0.8169627552070376,1.6339255104140753,0.0801552988405524,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,2.936182664184499,1.85621820171374,0.0,0.0,0.1362881528613035,0.1166365770442663,-0.1362881528613035,-0.1110835117280386,0.0469487974107726,1.752599629569444,8.75468580806884,0.1069918092998229,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
muon/cos_raw_nesterov,none,periodic,dynamics,2.0,2.0,2.0,1.1951269792128838,0.9864400697817322,0.0,0.0,0.0146565873890139,0.0329112283301115,-0.0146565873890139,-0.0329112283301115,0.0061318117839942,0.7515065182617477,1.5030130365234955,0.0195408689400041,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,3.065295655998568,3.229432979191973,0.0,0.0,0.0742074860711919,0.0605945964321711,-0.0626355730275885,-0.0605945964321711,0.0136054308728173,3.332207554158974,7.929716160752724,0.0654736828988282,0.4,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/data_norm,none,periodic,dynamics,2.0,2.0,2.0,6189257.017849645,8184696.97712452,0.0,0.0,0.1547005351305253,0.1547005469442444,0.1547005351305253,0.1547005469442444,1.249750452149372e-08,0.4617163817288902,0.9234327634577804,1.023098082112466e-08,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,63697266.49931616,17578774.004461296,0.0,0.0,0.6695453062182122,0.1548171911756561,0.6695453062182122,0.1548171911756561,7.218252312246169e-09,34101351.303562686,146852796.65744358,0.445868625242542,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/decay_norm,none,periodic,dynamics,2.0,2.0,2.0,2344.602300918512,2352.757753652629,0.0,0.0,0.4228948516564398,0.384742210217829,-0.4228948516564398,-0.384742210217829,0.01615456829187,2.325921210425024,4.651842420850048,0.0553530038844329,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,266.7912056860324,50.638890915097065,0.0,0.0,1.2366295115099852,0.1996642779768321,1.2366295115099852,-0.1996642779768321,0.0037859034343898,174.14135497204796,580.5014516662987,1.6193471181609658,0.9,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/factored_scale_dispersion,none,periodic,dynamics,2.0,2.0,2.0,1.4104344650959395,2.343783944179735,0.0,0.0,0.13109932968094,0.4730580210847142,-0.13109932968094,-0.4730580210847142,0.0464748036598859,2.6559052585354057,5.311810517070811,0.6489494196452117,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,1.8164167296837563,2.094997353978433,0.0,0.0,0.0932058975592175,0.1408436584805602,0.0508074930262242,-0.1218422695577429,0.0683383239544918,3.3681678809333064,36.253689517525295,0.2310734191120661,0.5,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/norm_degenerate,none,periodic,dynamics,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,101.0,0.040079365079365,10.0,22.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
muon/norm_deviation,none,periodic,dynamics,2.0,2.0,2.0,0.2889390698549523,1.327519820401552,1.0,1.0,0.1656282140421917,0.2991830598717186,0.0109276756629401,0.144482521492467,0.3055244307974051,0.4318348936491844,0.8636697872983689,0.2400621664879483,0.0,0.5,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,1.278816444370992,1.4831459421516633,0.0,0.0,0.739336127590003,0.8386102004834382,0.739336127590003,0.8386102004834382,0.5911760283323773,0.4733406375122768,1.278196644724103,0.2646594111169379,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
muon/polar_residual,none,periodic,dynamics,2.0,2.0,2.0,0.6766855449226269,1.3194192384394978,0.0,0.0,0.0109205674694666,0.0773201389054293,0.0109205674694666,-0.0773201389054293,0.0080691597089718,2.0319004069747617,4.063800813949523,0.1043824351441633,0.5,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,7.456257489710371,3.667518250694824,0.0,0.0,0.0442248558025066,0.0314282162337634,0.0442248558025066,0.0280966628286377,0.0059656752396087,3.683557807049615,10.348051838624247,0.0324465540928576,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
muon/u_final_norm_analytic,none,periodic,dynamics,2.0,2.0,2.0,,,2.0,2.0,0.1547005383792516,0.1547005383792516,0.1547005383792516,0.1547005383792516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,,,10.0,22.0,0.1547005383792516,0.1547005383792516,0.1547005383792516,0.1547005383792516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
muon/u_final_norm_observed,none,periodic,dynamics,2.0,2.0,2.0,8829482.159303006,9119607.017703708,0.0,0.0,0.1547005461092651,0.1547005639339985,0.1547005461092651,0.1547005639339985,8.760454085422663e-09,0.8951668902213157,1.7903337804426314,1.5436671648655666e-08,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,26112095.731275182,17009567.32131285,0.0,1.0,0.1547005609444177,0.1547005596846034,0.1547005609444177,0.1547005596846034,5.933291611640045e-09,0.631205470540233,1.851525381242897,4.818755653270953e-09,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
noise/b_noise,none,periodic,dynamics,2.0,2.0,2.0,1.2088361775498626,1.162040313825634,0.0,0.0,0.0316053784486196,0.0174907390267281,0.0080911456842959,-0.0060234937375955,0.1694214565788052,0.0362964101216247,0.0725928202432495,0.0139546183898982,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,1.6048264921851514,1.556703314959186,0.0,0.0,0.7272704426664652,0.337117873561404,-0.3771580846709971,0.0469016962698047,0.2356173888845583,1.0048438640626145,12.680542020091805,0.2863364399166687,0.3,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
noise/mean_grad_norm,none,periodic,dynamics,2.0,2.0,2.0,0.9700405040544516,1.131132991373193,0.0,0.0,0.2089757620061395,0.6196476048486113,-0.2089757620061395,0.6196476048486113,0.1077149671238929,2.106328945643365,4.21265789128673,0.5116071942897742,1.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,5.342011067733226,5.199932923485168,0.0,0.0,0.2970502211726711,0.3707832485933774,-0.2970502211726711,-0.3707832485933774,0.0574947669479721,2.7304826146151813,4.427467936448431,0.2061290366629331,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
noise/row_trace,none,periodic,dynamics,2.0,2.0,2.0,203.5841191338932,205.60910441356225,0.0,0.0,0.2213053714604311,0.5378494363279468,0.1118320075559418,0.5378494363279468,0.0381063626410385,3.383644452427737,6.767288904855474,0.2444777015485538,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2.3535416465285204,4.576020307076259,0.0,0.0,0.3139569652824451,0.5100252213905233,-0.3139569652824451,0.5100252213905233,0.1398632915182365,4.080197775355833,5.531322143636711,0.4338219262751139,0.7,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
noise/s2,none,periodic,dynamics,2.0,2.0,2.0,203.5841191338932,205.60910441356225,0.0,0.0,0.2213053714604311,0.5378494363279468,0.1118320075559418,0.5378494363279468,0.0381063626410385,3.383644452427737,6.767288904855474,0.2444777015485538,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2.3535416465285204,4.576020307076259,0.0,0.0,0.3139569652824451,0.5100252213905233,-0.3139569652824451,0.5100252213905233,0.1398632915182365,4.080197775355833,5.531322143636711,0.4338219262751139,0.7,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
noise/signal_raw,none,periodic,dynamics,2.0,2.0,2.0,17.655343864897446,18.037096593710523,0.0,0.0,0.2765453431815138,0.4593218985070978,0.0893020504848655,0.4593218985070978,0.2718764590298322,0.5681832423994163,1.1363664847988326,0.2382925715338292,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2.2018685065445487,1.1069575729742902,0.0,0.0,0.5558928092108674,0.4649368049348765,0.0676796474021352,0.3445571324870065,0.3601240717328655,0.9992451705526664,3.661979402766305,0.4291716171161126,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
param/norm,none,periodic,dynamics,2.0,2.0,2.0,38.921979261209344,27.150834222252925,0.0,0.0,0.1649353611170844,0.2511285343237528,0.1649353611170844,0.2511285343237528,0.0021187946277113,8.801013384380921,17.602026768761842,0.0573757814195334,0.0,0.5,0.5,0.5,101.0,0.040079365079365,10.0,22.0,10.0,181.99183009512092,220.11231890297492,0.0,0.0,0.6557681409077913,0.6768648464378663,0.6557681409077913,0.6768648464378663,0.0032953329114025,42.85646003287192,168.25354305209234,0.1220418811714302,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
param/rms,none,periodic,dynamics,2.0,2.0,2.0,570.7888061564171,571.8145890419662,0.0,0.0,0.1394144302501438,0.1023775406542919,-0.1394144302501438,-0.0314966955756492,0.0397117674007144,1.7673952152326444,3.534790430465289,0.1007747362093953,0.5,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,45.16586441868666,70.14253328485063,0.0,0.0,0.2372586212932688,0.2774004378576643,0.2372586212932688,0.2774004378576643,0.0033538671944566,28.47594019820932,84.69362381871947,0.1284224511928363,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/attn_out_norm,none,periodic,dynamics,2.0,1.0,1.0,7.160711972054133,0.8779718852274933,0.0,0.0,0.1482937727329675,0.2205540846000266,0.1482937727329675,-0.2205540846000266,0.1363137812086451,1.3263908258435777,1.3263908258435777,0.4115937907470742,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,82.75626825417098,51.31118334621151,0.0,0.0,1.477815700488283,1.1919272338161222,1.477815700488283,1.1919272338161222,0.0203969666626298,11.104400436338242,15.342616790254969,0.475581475100847,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/attn_out_stats_mean,none,periodic,dynamics,2.0,1.0,1.0,0.6354353164503115,0.1262426002424443,0.0,0.0,1.194663326797834,3.97980925755238,-1.194663326797834,3.97980925755238,1.8709186618854057,0.5097958982317786,0.5097958982317786,1.0742706970256568,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,1.1317095145589535,0.7188072519911897,0.0,0.0,20.415885434251884,8.330070504188562,20.415885434251884,8.330070504188562,19.41612390031915,0.2210268748585341,0.4470506273254077,3.453176196006392,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
probe/attn_out_stats_rms,none,periodic,dynamics,2.0,1.0,1.0,1.3704140016142117,1.293665995703334,0.0,0.0,0.0415976054686426,0.324980047043613,-0.0055484499612168,-0.324980047043613,0.1363137721178673,1.3263906459592216,1.3263906459592216,0.411593746817295,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,64.39092541398054,38.46395371700561,0.0,0.0,1.14585131457463,0.8982646522210866,1.14585131457463,0.8982646522210866,0.0203969621886703,11.104397380176575,15.342613124561153,0.4755815043667482,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/attn_out_stats_std,none,periodic,dynamics,2.0,1.0,1.0,1.3745436525479278,1.2935230159125397,0.0,0.0,0.0415619819150989,0.3249657215236727,-0.0055596104870162,-0.3249657215236727,0.1362841961679244,1.326340677621794,1.326340677621794,0.4116000297773044,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,64.56279633986243,38.48886087029127,0.0,0.0,1.1452970929266229,0.8980104377867408,1.1452970929266229,0.8980104377867408,0.020430833050536,11.094273057243685,15.335689219679283,0.4752826070393651,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/attn_residual_ratio,none,periodic,dynamics,2.0,1.0,1.0,4.500028933359148,11.4959483074264,0.0,0.0,0.2596020767379735,1.0849615147203386,-0.2596020767379735,1.0849615147203386,0.0606028748977677,11.148752858657758,11.148752858657758,0.6550130314044816,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,6.680631111497634,1.9207016371671253,0.0,0.0,0.2230839353528788,0.0673552106246812,-0.2230839353528788,-0.0666470260613303,0.0325803787826204,4.748626519210623,10.690924553549168,0.1268569992562481,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
probe/backout_contribution_ratio,none,periodic,dynamics,2.0,1.0,1.0,3.31168369475321,1.134075343338782,0.0,0.0,0.0961941720764247,0.1390189389331595,-0.0486526828677459,0.1390189389331595,0.0508889781828446,0.829584610512495,0.829584610512495,0.0803124922665125,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,4.195357234735342,14.239112784404057,0.0,0.0,0.0760098323979724,0.3401426043879209,-0.0495392487857701,-0.3401426043879209,0.0233103386070019,10.714543071559318,17.92474514050232,0.329539860812829,0.4,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/backout_term_norm,none,periodic,dynamics,2.0,1.0,1.0,6.779458880811434,1.0531549655800767,0.0,0.0,0.4585606011888093,0.4800446844555679,0.4585606011888093,-0.4800446844555679,0.1942045256962243,1.834400805918488,1.834400805918488,1.6010567315105957,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,23.012418494958855,7.22893239911053,0.0,0.0,1.783369891965375,0.5817994880684794,1.783369891965375,0.5817994880684794,0.0794135181654106,7.393856829811398,9.452313662334696,0.7538997646188303,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
probe/block_in_stats_mean,none,periodic,dynamics,2.0,1.0,1.0,0.290664699879323,0.2419821657935525,0.0,0.0,13.021759077546635,0.806964820506948,3.639625416307238,0.806964820506948,47.39283502084019,0.3986047977184134,0.3986047977184134,52.78363513067877,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,0.1086189902375871,0.2030476111490349,0.0,0.0,0.4844817153180967,0.7111816205165504,0.284315683628272,0.47899254134181,3.616845254089769,0.0949041383197223,0.2199902732853635,0.4868195836107426,0.3,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
probe/block_in_stats_rms,none,periodic,dynamics,2.0,1.0,1.0,6.500235670905051,1.806091877343604,0.0,0.0,0.3022590448345478,0.6514621162764602,0.3022590448345478,-0.6514621162764602,0.1573521319253194,2.7562167995958524,2.7562167995958524,2.571368930249242,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,91.23561994166002,57.76535927231374,0.0,0.0,1.6935500456252122,1.1640532134902828,1.6935500456252122,1.1640532134902828,0.0193070311456897,13.715242658338994,28.643695729444246,0.4012448991501596,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
