tier,metric,acceptance_arm,channels,rel_median,rel_worst_channel,rel_worst_point,complete_frac,noise_vs_swing,rel_early,rel_late
periodic,probe/c_proj_in_stats_rms,-1,24,0.03593115259903451,0.10070803232768953,0.2887632812794409,1.0,0.09209280104684746,0.11345045502140468,0.035136701463489114
sparse,curvature/fd_floor_update,shadow_fp32,1,0.03788925793876731,0.03788925793876731,0.11660289462636705,1.0,0.06984019359816936,0.02136708903602727,0.050789095045388866
sparse,curvature/fd_floor_random,shadow_fp32,1,0.037889288822667205,0.037889288822667205,0.11660290519100941,1.0,0.06984012006649873,0.021367094926167347,0.05078905833425118
sparse,curvature/fd_floor_gradient,native,1,0.039224785982951704,0.039224785982951704,0.1190871472528006,1.0,0.07048472976559345,0.02118066566931056,0.05121757710906842
sparse,curvature/e_lin_random,native,1,0.04028952647401632,0.04028952647401632,0.11214305515361282,1.0,0.40147919813079685,0.020991444071324302,0.04856328718041939
periodic,probe/resid_term_norm,-1,24,0.04047366462174739,0.06664488932238409,0.3551402852050919,1.0,0.06530930025618567,0.2046952604275442,0.040170171235181656
periodic,probe/attn_out_stats_std,-1,24,0.04059167539657546,0.08547029074119791,0.40133587580456076,1.0,0.05796625648487822,0.18319144912290042,0.04001420449369224
periodic,probe/attn_out_norm,-1,24,0.04070433915844509,0.08554645779199653,0.4013385002332124,1.0,0.05796321903877829,0.183172351481603,0.04012189347466677
periodic,probe/attn_out_stats_rms,-1,24,0.04070433928080447,0.08554648443170065,0.40133848753532425,1.0,0.057963189733259535,0.18317235758485917,0.040121876692090636
periodic,probe/logit_max_precap,-1,2,0.04160765687966689,0.04801285822183344,0.10486226084726573,1.0,0.18182188459008855,0.03639421447593616,0.047126207521778575
sparse,curvature/e_lin_update,shadow_fp32,1,0.04253040604004757,0.04253040604004757,0.1434826904551212,1.0,0.12658355028748305,0.027896280261748625,0.050652887996682334
continuous,step/loader_call_elapsed,-1,1,0.04310879968745205,0.04310879968745205,0.16654888621484124,1.0,2.4484197617877883,0.04020065074435591,0.04384416408243963
periodic,probe/block_in_stats_rms,-1,24,0.0431856763674182,0.06086030947204441,0.36640118597987714,1.0,0.07134122937405388,0.21571463129497953,0.0427628081000759
