tier,metric,acceptance_arm,param_role,parameter_name,layer,head,optimizer_group_id,probe_name,aggregation,n_points,complete_frac,rel_median,rel_worst,sd_median,level_median,swing,noise_vs_swing,rel_early,rel_late
periodic,grad/nonfinite,-1,attn_out,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,attn_q,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,attn_v,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,backout_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,mlp_in,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,mlp_out,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,resid_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,smear_gate,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,smear_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,token_embedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,unembedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,value_embedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,ve_gate,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/nonfinite,-1,x0_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,grad/norm,-1,attn_k,-1,0.0,-1.0,-1,-,L0:all,25.0,1.0,0.1195273389539912,0.2780333639436662,0.000355411513892313,0.003053757787058559,0.00447792533785406,0.07936968285019143,0.26853376492315906,0.11205279436861856
periodic,grad/norm,-1,attn_k,-1,1.0,-1.0,-1,-,L0:all,25.0,1.0,0.06421774177568913,0.17165132655201454,0.0001897093960504988,0.002984129531804738,0.00578831828904207,0.03277452734581645,0.16668986039563613,0.060241827610884056
periodic,grad/norm,-1,attn_k,-1,2.0,-1.0,-1,-,L0:all,25.0,1.0,0.3113636439960763,0.6083754467451784,0.0015848754236135766,0.004812897695160768,0.008288993570428272,0.1912023950974895,0.41359247511957076,0.30933327694392687
