nominal,run,depth,seed,progress,n_matrix,median,mean,gmean,q25,q75
0.6,d12-s8,12,8,0.6,78,0.036981867626309395,0.04298784225606001,0.04093674827227461,0.0347708510234952,0.04125332925468683
0.6,d12-s9,12,9,0.6,78,0.036633946001529694,0.04184063237447005,0.04033211917739463,0.03494491055607796,0.04397722613066435
0.6,d12-s10,12,10,0.6,78,0.036565838381648064,0.04144937084175837,0.040212826067013624,0.034771052189171314,0.04418945964425802
0.6,d12-s11,12,11,0.6,78,0.036677366122603416,0.042095244312897705,0.040629954907749725,0.034793139435350895,0.045177074149250984
0.6,d14-s7,14,7,0.6001596169193935,91,0.03387023136019707,0.04072814768405406,0.03843304738716662,0.03225269354879856,0.03964937478303909
0.6,d16-s7,16,7,0.6000744047619048,104,0.0320354662835598,0.03756090441647057,0.03593979072938007,0.030520382802933455,0.037232574075460434
0.65,d12-s7,12,7,0.65,78,0.034372078254818916,0.04149984618505606,0.03932327621243284,0.03330099303275347,0.04152522701770067
0.65,d12-s8,12,8,0.65,78,0.0341554693877697,0.041485294580268554,0.03891600127641828,0.03307701461017132,0.04049687925726175
0.65,d12-s9,12,9,0.65,78,0.03460655361413956,0.039242464738587536,0.03806315511025392,0.032900283113121986,0.041301287710666656
0.65,d12-s10,12,10,0.65,78,0.034072669222950935,0.039536151772317216,0.038010780839269384,0.03304853104054928,0.04058440960943699
0.65,d12-s11,12,11,0.65,78,0.034702692180871964,0.04137301702912037,0.03915870780844562,0.03293333109468222,0.04329190030694008
0.65,d14-s7,14,7,0.6501729183293429,91,0.03237012401223183,0.03891785913607576,0.03688291109479927,0.030724430456757545,0.038552701473236084
0.65,d16-s7,16,7,0.6501116071428571,104,0.031005059368908405,0.03628127774796807,0.034566728966980806,0.029216967057436705,0.03579108044505119
0.7,d12-s7,12,7,0.7,78,0.033720703795552254,0.03926077193747728,0.03757849947914004,0.03224374260753393,0.03958269488066435
0.7,d12-s8,12,8,0.7,78,0.033065300434827805,0.03893344565175283,0.03707231999367903,0.03169162943959236,0.03867193963378668
0.7,d12-s9,12,9,0.7,78,0.03296499885618687,0.03931819246365474,0.03725804024110476,0.03159795794636011,0.038771504536271095
0.7,d12-s10,12,10,0.7,78,0.032891036942601204,0.03956341741081232,0.03730330330419885,0.031765859574079514,0.0374652985483408
0.7,d12-s11,12,11,0.7,78,0.033143555745482445,0.03860989905511721,0.03703345889616261,0.03177696745842695,0.0378474872559309
0.7,d14-s7,14,7,0.7001862197392924,91,0.03166594356298447,0.038164936313098606,0.03599875739539795,0.030034422874450684,0.03722458519041538
0.7,d16-s7,16,7,0.7001488095238095,104,0.030618133023381233,0.03599301784729155,0.0340499526838673,0.028363491874188185,0.0356258861720562
0.75,d12-s7,12,7,0.75,78,0.03244011290371418,0.03826054694274297,0.03614422379815726,0.030610850546509027,0.03674896340817213
0.75,d12-s8,12,8,0.75,78,0.03216556832194328,0.03787697517336943,0.035916393346041756,0.030507851857692003,0.035244100727140903
0.75,d12-s9,12,9,0.75,78,0.03248327784240246,0.03805094037969143,0.036167011244747915,0.03015856957063079,0.03889668546617031
0.75,d12-s10,12,10,0.75,78,0.03218857944011688,0.03759565713027349,0.035927343427312484,0.030480848625302315,0.038004154339432716
0.75,d12-s11,12,11,0.75,78,0.03165109641849995,0.03845431569677133,0.03606030454749299,0.030550753697752953,0.03683408163487911
0.75,d14-s7,14,7,0.7501995211492418,91,0.03086869977414608,0.03649424043084894,0.03458797466323102,0.029108695685863495,0.03489379584789276
0.75,d16-s7,16,7,0.75,104,0.029863604344427586,0.03451105221532858,0.03283399650826757,0.02805806277319789,0.03413144312798977
0.8,d12-s7,12,7,0.8,78,0.03185863047838211,0.03745121711817307,0.03531275167398855,0.029874430038034916,0.03532701823860407
0.8,d12-s8,12,8,0.8,78,0.03143911436200142,0.03705747938977602,0.03491317335622475,0.0300480960868299,0.03423607721924782
0.8,d12-s9,12,9,0.8,78,0.03152996860444546,0.03697117219846218,0.03518592495181732,0.030090056359767914,0.03609828185290098
0.8,d12-s10,12,10,0.8,78,0.0315349567681551,0.03744642431728351,0.03517631939668874,0.02995918458327651,0.036031031049788
0.8,d12-s11,12,11,0.8,78,0.03153877891600132,0.03740425610867066,0.03512955083024535,0.03007666254416108,0.03437112644314766
0.8,d14-s7,14,7,0.7999467943602022,91,0.03043372556567192,0.03487872776503746,0.0335153355768678,0.028605666011571884,0.03401993215084076
0.8,d16-s7,16,7,0.8000372023809523,104,0.029531794600188732,0.033886302513285324,0.032399364281576096,0.02755826059728861,0.0329448115080595
0.85,d12-s7,12,7,0.85,78,0.030971506610512733,0.035339460732080996,0.03395215565178544,0.029316467698663473,0.03456425201147795
0.85,d12-s8,12,8,0.85,78,0.030963650904595852,0.03652791877110035,0.03434393353470218,0.029414435382932425,0.03399693500250578
0.85,d12-s9,12,9,0.85,78,0.03099468443542719,0.03695865245297169,0.03461562648561633,0.029403330758213997,0.03465551696717739
0.85,d12-s10,12,10,0.85,78,0.030882359482347965,0.03519345296976658,0.033620929709633,0.028999698348343372,0.03363568335771561
0.85,d12-s11,12,11,0.85,78,0.030874292366206646,0.036031616159165517,0.034148527314822597,0.029259527567774057,0.03441735729575157
0.85,d14-s7,14,7,0.8499600957701516,91,0.030273117125034332,0.03557312592945911,0.03367630132651152,0.02855462208390236,0.033819617703557014
0.85,d16-s7,16,7,0.8500744047619048,104,0.029494568705558777,0.03482314768748788,0.032808052814231395,0.02753609837964177,0.03369310963898897
0.9,d12-s7,12,7,0.9,78,0.030870402231812477,0.03547077368085201,0.03382244893543738,0.029079357627779245,0.03458377718925476
0.9,d12-s8,12,8,0.9,78,0.030955422669649124,0.035942718100089296,0.03404091623540647,0.029204206075519323,0.0337371863424778
0.9,d12-s9,12,9,0.9,78,0.03101975843310356,0.03658431730209253,0.03416006772384066,0.0296045639552176,0.03391841799020767
0.9,d12-s10,12,10,0.9,78,0.03072443325072527,0.03582170192534343,0.03374720174790332,0.02898165723308921,0.032962690107524395
0.9,d12-s11,12,11,0.9,78,0.03057737648487091,0.03627656787060774,0.03415187316562867,0.02929579559713602,0.03383294399827719
0.9,d14-s7,14,7,0.899973397180101,91,0.030537039041519165,0.036058179522444916,0.033683516400962,0.028667092323303223,0.03267301060259342
0.9,d16-s7,16,7,0.9001116071428571,104,0.029544731602072716,0.03355967817613138,0.032183276257314444,0.027713316027075052,0.03300572093576193
0.95,d12-s7,12,7,0.95,78,0.030698804184794426,0.03639254401414058,0.03403130003407864,0.02903434308245778,0.033417957834899426
0.95,d12-s8,12,8,0.95,78,0.030684842728078365,0.03580359269220095,0.033917956938639145,0.029113570228219032,0.03413866646587849
0.95,d12-s9,12,9,0.95,78,0.030533951707184315,0.03599422317571365,0.0338616315053743,0.02912918757647276,0.03312867134809494
0.95,d12-s10,12,10,0.95,78,0.030852995812892914,0.03445098761660166,0.033140980268279024,0.028722068294882774,0.03291068971157074
0.95,d12-s11,12,11,0.95,78,0.030291888862848282,0.03454968170859875,0.033164825283809665,0.02892984449863434,0.03331830911338329
0.95,d14-s7,14,7,0.9499866985900506,91,0.03032752498984337,0.033826732189281956,0.032807077271590025,0.02850968111306429,0.03317159228026867
0.95,d16-s7,16,7,0.9499627976190477,104,0.029509793035686016,0.03377021225885703,0.03229553076322932,0.02769090747460723,0.03435191139578819
1.0,d12-s7,12,7,1.0,78,0.0306160943582654,0.03516892556292124,0.03360402014890421,0.029089680407196283,0.034773838706314564
1.0,d12-s8,12,8,1.0,78,0.03091304935514927,0.03576320245002325,0.03401243682705972,0.029172607697546482,0.033508844673633575
1.0,d12-s9,12,9,1.0,78,0.030836417339742184,0.03641049895817653,0.03422246282383337,0.029130187816917896,0.03483832906931639
1.0,d12-s10,12,10,1.0,78,0.030942022800445557,0.03597094491124153,0.033866344166208165,0.028729763813316822,0.03372181300073862
1.0,d12-s11,12,11,1.0,78,0.030471041798591614,0.03600470029199735,0.034044874318573684,0.029057220090180635,0.034111388027668
1.0,d14-s7,14,7,1.0,91,0.030485201627016068,0.03537564925276316,0.033603965489634756,0.028517133556306362,0.03371437452733517
1.0,d16-s7,16,7,1.0,104,0.029693998396396637,0.03415912814223422,0.03259200102344077,0.027882934547960758,0.03396454360336065
