run,depth,seed,source,step,normalized_progress,phase,cosine,sample_count
d12-s7,12,7,logical_exact_prev_deep,16,0.006349206349206349,early,-0.19711917964270578,8.0
d12-s7,12,7,logical_exact_prev_deep,32,0.012698412698412698,early,0.3287511636409777,16.0
d12-s7,12,7,logical_exact_prev_deep,40,0.015873015873015872,early,0.7113241332155068,8.0
d12-s7,12,7,logical_exact_prev_deep,64,0.025396825396825397,early,0.572404293274134,24.0
d12-s7,12,7,logical_exact_prev_deep,126,0.05,early,-0.10226626033028745,62.0
d12-s7,12,7,logical_exact_prev_deep,252,0.1,early,-0.1899100264632953,126.0
d12-s7,12,7,logical_exact_prev_deep,378,0.15,early,-0.15518448828665118,126.0
d12-s7,12,7,logical_exact_prev_deep,400,0.15873015873015872,early,0.0905177614315162,22.0
d12-s7,12,7,logical_exact_prev_deep,504,0.2,early,-0.28322849144932905,104.0
d12-s7,12,7,logical_exact_prev_deep,630,0.25,middle,-0.008592627135243915,126.0
d12-s7,12,7,logical_exact_prev_deep,756,0.3,middle,0.2590221042888661,126.0
d12-s7,12,7,logical_exact_prev_deep,882,0.35,middle,-0.4840164899445883,126.0
d12-s7,12,7,logical_exact_prev_deep,1008,0.4,middle,0.3956099298648289,126.0
d12-s7,12,7,logical_exact_prev_deep,1134,0.45,middle,-0.06827558603017227,126.0
d12-s7,12,7,logical_exact_prev_deep,1260,0.5,middle,-0.30648089960113123,126.0
d12-s7,12,7,logical_exact_prev_deep,1385,0.5496031746031746,middle,-0.5078077198040835,125.0
d12-s7,12,7,logical_exact_prev_deep,1511,0.5996031746031746,middle,-0.4953091003451234,126.0
d12-s7,12,7,logical_exact_prev_deep,1637,0.6496031746031746,middle,-0.43295833327642175,126.0
d12-s7,12,7,logical_exact_prev_deep,1763,0.6996031746031746,middle,0.5881923751234966,126.0
d12-s7,12,7,logical_exact_prev_deep,1889,0.7496031746031746,middle,-0.38958684425226797,126.0
d12-s7,12,7,logical_exact_prev_deep,2015,0.7996031746031746,late,0.28568319954892596,126.0
d12-s7,12,7,logical_exact_prev_deep,2141,0.8496031746031746,late,-0.130951869280425,126.0
d12-s7,12,7,logical_exact_prev_deep,2267,0.8996031746031746,late,0.0072641627429263856,126.0
d12-s7,12,7,logical_exact_prev_deep,2393,0.9496031746031746,late,-0.012040525308638745,126.0
d12-s7,12,7,logical_exact_prev_deep,2519,0.9996031746031746,late,-0.026341107497528896,126.0
d12-s8,12,8,logical_sketch_prev,101,0.04007936507936508,early,0.12640351600959676,
d12-s8,12,8,logical_sketch_prev,202,0.08015873015873017,early,0.1813012012095684,
d12-s8,12,8,logical_sketch_prev,303,0.12023809523809524,early,-0.5725967960153292,
d12-s8,12,8,logical_sketch_prev,404,0.16031746031746033,early,0.13909742137396988,
d12-s8,12,8,logical_sketch_prev,505,0.2003968253968254,early,-0.05880549898529551,
d12-s8,12,8,logical_sketch_prev,606,0.24047619047619048,early,-0.12838126058000313,
d12-s8,12,8,logical_sketch_prev,707,0.28055555555555556,middle,-0.1912673756952396,
d12-s8,12,8,logical_sketch_prev,808,0.32063492063492066,middle,0.03690691394255727,
d12-s8,12,8,logical_sketch_prev,909,0.3607142857142857,middle,-0.2157528859579674,
d12-s8,12,8,logical_sketch_prev,1010,0.4007936507936508,middle,0.34823778798181443,
d12-s8,12,8,logical_sketch_prev,1111,0.44087301587301586,middle,0.1326493621093549,
d12-s8,12,8,logical_sketch_prev,1212,0.48095238095238096,middle,-0.16209986606647844,
d12-s8,12,8,logical_sketch_prev,1313,0.5210317460317461,middle,-0.28917686763994377,
d12-s8,12,8,logical_sketch_prev,1414,0.5611111111111111,middle,-0.3193526361121833,
d12-s8,12,8,logical_sketch_prev,1515,0.6011904761904762,middle,0.043326909307401046,
d12-s8,12,8,logical_sketch_prev,1616,0.6412698412698413,middle,-0.1707783483956749,
d12-s8,12,8,logical_sketch_prev,1717,0.6813492063492064,middle,-0.11397647806653181,
d12-s8,12,8,logical_sketch_prev,1818,0.7214285714285714,middle,0.029459026842015127,
